dependent,independent,alpha,adj_r2
BTCUSDT,"['ETHUSDT', 'ADAUSDT']",25847.776449860088,0.6132744362339368
BTCUSDT,"['ADAUSDT', 'ETHUSDT']",25847.77644988415,0.6132744362339351
ETHUSDT,"['BTCUSDT', 'ADAUSDT']",2197.816631536991,0.2654818412745209
ETHUSDT,"['ADAUSDT', 'BTCUSDT']",2197.816631542688,0.26548184127450736
ADAUSDT,"['BTCUSDT', 'ETHUSDT']",-0.3085606754979201,0.6211908072400967
ADAUSDT,"['ETHUSDT', 'BTCUSDT']",-0.3085606754979324,0.6211908072400967
BTCUSDT,"['ETHUSDT', 'BNBUSDT']",-4532.048067518342,0.691049789153609
BTCUSDT,"['BNBUSDT', 'ETHUSDT']",-4532.048067530975,0.6910497891536111
ETHUSDT,"['BTCUSDT', 'BNBUSDT']",1710.593236441437,0.29825367457433427
ETHUSDT,"['BNBUSDT', 'BTCUSDT']",1710.5932364412329,0.29825367457433316
BNBUSDT,"['BTCUSDT', 'ETHUSDT']",94.0865815025735,0.7186327264068567
BNBUSDT,"['ETHUSDT', 'BTCUSDT']",94.0865815025704,0.7186327264068572
BTCUSDT,"['ETHUSDT', 'DOGEUSDT']",30209.495357796848,0.6058366672649429
BTCUSDT,"['DOGEUSDT', 'ETHUSDT']",30209.495357761014,0.6058366672649338
ETHUSDT,"['BTCUSDT', 'DOGEUSDT']",2232.1743013668174,0.24810235778665113
ETHUSDT,"['DOGEUSDT', 'BTCUSDT']",2232.174301399118,0.24810235778665424
DOGEUSDT,"['BTCUSDT', 'ETHUSDT']",-0.15712992908565865,0.5967137873099143
DOGEUSDT,"['ETHUSDT', 'BTCUSDT']",-0.15712992908566312,0.5967137873099159
BTCUSDT,"['ETHUSDT', 'LINKUSDT']",18380.31867055659,0.40305319365761083
BTCUSDT,"['LINKUSDT', 'ETHUSDT']",18380.318670556706,0.40305319365761094
ETHUSDT,"['BTCUSDT', 'LINKUSDT']",1801.0735933825122,0.3764285846788882
ETHUSDT,"['LINKUSDT', 'BTCUSDT']",1801.0735933825301,0.3764285846788903
LINKUSDT,"['BTCUSDT', 'ETHUSDT']",-1.888399773856694,0.5044299989366768
